X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
7.45,1.18,6.79,1157,1280,130,0,1387,-8.55,-0.82,5.06,955,1283,1664,1108,447,CAR
7.57,2.47,6.51,1155,1280,119,0,1379,-9.34,-0.86,5.1,966,1262,1669,1095,448,CAR
7.22,3.18,6.35,1159,1299,117,0,1375,-8.43,0.47,5.1,976,1237,1657,1091,447,CAR
7.57,2.79,5.69,1178,1279,118,0,1378,-8.59,0.43,4.43,989,1189,1648,1095,447,CAR
8.39,2.59,4.55,1183,1280,121,0,1378,-8.83,0.59,3.53,1011,1167,1659,1089,443,CAR
9.1,2.2,3.92,1167,1292,112,0,1379,-8.63,0.63,3.18,1001,1121,1639,1072,442,CAR
8.16,2.59,3.61,1154,1282,112,0,1391,-8.79,1.02,2.9,1019,1098,1633,1072,437,CAR
9.26,2.28,3.45,1153,1306,104,0,1399,-9.81,1.14,3.37,1003,1107,1619,1058,437,CAR
9.26,1.92,2.82,1163,1278,107,0,1395,-10.98,0.98,3.22,999,1104,1623,1057,437,CAR
9.81,1.06,1.96,1163,1280,107,0,1379,-11.02,1.06,3.57,1003,1107,1628,1034,439,CAR
11.26,0.55,0.9,1165,1286,110,0,1376,-9.1,1.41,4.63,1007,1093,1616,1023,439,CAR
12.55,0.59,1.37,1153,1281,102,0,1381,-7.14,1.53,5.49,1012,1104,1616,1041,439,CAR
13.14,0.98,2.43,1159,1303,100,0,1410,-4.75,1.53,5.53,1009,1111,1638,1039,434,CAR
12.63,2.28,2.79,1170,1279,108,0,1379,-5.61,1.49,4.55,1008,1107,1621,1040,439,CAR
10.16,2.12,3.33,1152,1279,105,0,1395,-8.39,0.31,3.06,1019,1110,1637,1043,437,CAR
8.71,2.24,3.73,1166,1282,114,0,1386,-11.06,-0.04,1.14,1011,1105,1630,1053,439,CAR
6.08,2.59,4.31,1162,1282,102,0,1387,-11.18,0.24,0.16,1008,1119,1630,1045,443,CAR
6.55,2.28,4.55,1169,1287,107,0,1382,-11.22,0.31,-0.31,1005,1119,1622,1055,442,CAR
6.79,2.82,4.12,1164,1304,103,0,1379,-11.96,-0.16,0.86,998,1117,1627,1050,446,CAR
8.63,2.75,3.92,1159,1276,108,0,1393,-10.83,0.12,1.33,1008,1110,1630,1059,444,CAR
9.1,2.51,3.22,1156,1293,108,0,1377,-10.04,0.51,2.12,999,1126,1622,1044,441,CAR
9.81,1.37,1.92,1173,1283,113,0,1403,-9.77,1.1,3.33,1019,1115,1634,1055,439,CAR
11.92,1.57,0.94,1164,1290,109,0,1392,-8.67,1.41,4.59,1002,1113,1622,1059,438,CAR
