X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
-1.8,1.84,9.96,1167,1302,128,1398,2.71,0.16,11.69,1008,1326,1689,1088,688,DARK
-0.63,1.84,11.53,1157,1287,125,1386,3.41,0.27,11.38,1010,1344,1705,1089,672,DARK
-0.63,0.24,11.45,1168,1301,128,1377,3.53,-0.08,11.77,1010,1331,1680,1085,685,DARK
-0.82,0.31,12.04,1159,1286,126,1379,2.28,-0.35,11.89,1010,1329,1685,1100,689,DARK
-0.78,0.16,12.12,1155,1298,128,1377,1.84,-0.04,12.08,1008,1342,1680,1107,690,DARK
-0.12,0.51,11.3,1161,1278,127,1381,2.12,-0.04,11.92,1010,1340,1680,1093,693,DARK
-0.12,0.71,10.47,1168,1264,128,1373,1.77,-0.04,11.53,1034,1334,1700,1088,695,DARK
-0.39,0.59,10.67,1165,1280,128,1405,2.16,-0.31,10.9,1008,1328,1691,1095,697,DARK
-0.27,0.27,10.59,1159,1288,128,1403,2.35,-0.55,11.3,1023,1338,1690,1088,693,DARK
-0.75,0.43,11.26,1157,1280,128,1379,1.92,-0.24,11.34,998,1328,1682,1098,692,DARK
-0.71,0.78,11.14,1157,1289,128,1378,1.49,-0.35,11.45,1013,1342,1690,1097,695,DARK
-1.02,1.06,10.2,1168,1294,129,1396,1.41,-0.24,11.02,1012,1336,1694,1090,679,DARK
-0.71,2.31,8.71,1165,1288,128,1390,0.12,0.08,10.98,1010,1333,1691,1093,678,DARK
-0.08,3.33,8.43,1157,1280,128,1377,-0.16,0.2,11.06,1015,1327,1680,1090,687,DARK
-0.27,3.8,7.92,1165,1291,128,1403,-1.57,0.59,10.87,1008,1332,1690,1097,698,DARK
0.55,5.1,7.26,1168,1283,128,1385,-2.35,0.55,11.02,1008,1328,1689,1091,717,DARK
1.88,5.3,9.06,1163,1290,131,1389,-1.88,0.39,10.71,1011,1328,1690,1088,722,DARK
2.24,5.37,8.67,1170,1286,128,1392,-3.18,0.2,10.79,1011,1339,1698,1087,739,DARK
4.98,5.1,9.34,1152,1286,119,1383,-3.8,-0.08,11.06,1012,1328,1675,1094,703,DARK
5.3,4,8.87,1159,1304,128,1389,-4.2,-1.22,10.32,1020,1322,1693,1091,656,DARK
