X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
3.45,8.59,0.94,1158,1282,135,1395,-4.9,7.61,0.82,981,1332,1703,1098,609,TREE
1.92,8.75,-0.47,1162,1285,149,1393,-4.71,8.67,0.39,983,1333,1706,1089,608,TREE
1.92,8.47,-1.1,1163,1294,134,1395,-3.65,8.36,-0.78,991,1338,1700,1103,606,TREE
1.57,8.63,-1.14,1167,1298,128,1377,-3.33,8.08,-1.37,993,1343,1696,1099,613,TREE
1.18,9.06,-1.26,1162,1302,131,1392,-3.26,8.08,-1.65,972,1340,1699,1099,611,TREE
1.45,9.22,-0.71,1152,1283,137,1378,-3.33,7.92,-1.41,977,1329,1705,1104,613,TREE
2.35,7.92,-0.47,1168,1270,128,1393,-3.92,8.24,-0.78,973,1342,1710,1102,615,TREE
2.94,7.57,1.73,1168,1301,129,1383,-4.71,6.98,1.18,976,1339,1695,1101,615,TREE
2.82,6.67,2.75,1184,1279,127,1381,-5.92,5.69,3.14,977,1326,1699,1088,611,TREE
5.33,6.67,4.35,1163,1284,129,1390,-6.55,5.65,4.51,975,1334,1695,1104,609,TREE
7.53,5.06,5.06,1161,1297,128,1381,-6.98,5.1,5.45,982,1332,1686,1101,608,TREE
8.32,3.8,6.55,1178,1283,132,1380,-8.28,3.02,6.71,993,1338,1702,1085,606,TREE
8.24,3.45,8.55,1174,1296,127,1373,-8.28,1.8,7.85,991,1328,1697,1090,603,TREE
7.77,1.84,8.9,1163,1273,130,1392,-6.83,0.86,7.88,989,1328,1687,1093,606,TREE
5.88,-0.2,8.94,1165,1282,132,1391,-7.41,-0.12,8.59,999,1328,1683,1087,609,TREE
6.08,-1.26,10.04,1179,1237,128,1397,-8,-2.31,10.12,985,1332,1695,1103,610,TREE
5.49,-1.69,9.69,1152,1289,131,1379,-5.1,-4,9.61,989,1321,1699,1098,613,TREE
5.06,-2.47,11.65,1174,1308,130,1392,-3.33,-4.35,8.75,989,1328,1687,1102,611,TREE
4.63,-2.82,10.24,1170,1295,141,1393,-5.73,-4.28,9.69,993,1328,1696,1085,611,TREE
4.08,-3.37,9.65,1157,1286,126,1377,-3.33,-4.35,9.3,1004,1328,1712,1093,609,TREE
4.04,-2.59,9.92,1183,1273,129,1377,-3.65,-4.31,9.92,1005,1328,1701,1095,608,TREE
4.08,-2.63,9.81,1168,1299,131,1394,-3.77,-4.12,9.92,998,1328,1712,1094,608,TREE
4.39,-2.55,9.77,1177,1290,129,1367,-7.49,-3.73,9.69,999,1344,1697,1100,607,TREE
4.67,-2.31,9.69,1177,1285,131,1370,-9.57,-2.43,7.77,944,1325,1702,1072,607,TREE
4.47,-2.31,9.69,1157,1293,139,1393,-9.49,-1.65,5.33,984,1323,1703,1082,611,TREE
4.51,-2.39,9.81,1165,1296,128,1401,-8.67,-0.43,4.28,995,1330,1703,1102,611,TREE
4.24,-2.51,9.89,1162,1288,136,1382,-8.59,1.22,3.26,1007,1332,1707,1099,611,TREE
4.2,-2.55,9.65,1166,1278,131,1381,-9.38,1.8,2.86,1012,1344,1702,1091,609,TREE
4.75,-2.16,9.73,1163,1279,129,1378,-7.06,1.65,2.35,1018,1328,1712,1104,615,TREE
4.55,-2.28,9.77,1200,1287,133,1379,-8.47,2.47,2.35,1011,1329,1698,1110,612,TREE
4.28,-2.59,9.73,1182,1281,129,1403,-8.36,2.24,1.73,1014,1328,1705,1102,612,TREE
4.43,-2.43,9.77,1152,1303,139,1382,-9.53,2.35,0.59,1039,1330,1711,1105,611,TREE
4.12,-2.47,9.81,1167,1296,128,1401,-8.63,2.24,0.94,1014,1328,1683,1097,610,TREE
4.55,-2.28,9.85,1168,1283,130,1391,-8.43,2.63,0.2,1008,1343,1698,1106,613,TREE
4.55,-2.31,9.81,1153,1308,128,1398,-9.22,2.82,0.27,1023,1342,1700,1114,615,TREE
4.39,-2.59,10,1158,1290,137,1374,-9.06,2.51,0.63,1018,1360,1701,1105,614,TREE
4.31,-3.06,10.98,1171,1281,130,1374,-10.24,0.86,1.77,1020,1345,1699,1098,618,TREE
